,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables
20_BA,Phormidium,Boltzmann Arrhenius,Specific Growth Rate,-1.3966024731835882,7.036504712232272e-11,NA,NA,NA,NA,NA,NA,NA,-1.3967449419283184e-10,-119.36368791215511,-113.82952642111128,1,False,24,2
20_Sch_TF,Phormidium,schoolfield two factor,Specific Growth Rate,4.019361255565431,1.8233029622795582,266.727702505,1.89362782003,NA,266.75,258.55,298.45,0.320360576002,0.06015986879170265,-116.85277936818017,-108.96251021644044,2,False,24,4
115_BA,Spiroplasma,Boltzmann Arrhenius,Specific Growth Rate,-7.426648677161351,2.0838826847585934,NA,NA,NA,NA,NA,NA,NA,0.5482147599314131,136.89073157703763,143.95736993937945,1,False,40,2
115_Sch_TF,Spiroplasma,schoolfield two factor,Specific Growth Rate,-10.049541432852862,2.651048621047349,309.087393843,26.9940908403,NA,309.05,307.85,309.65,18.8684923332,0.5785815113848531,138.15400995409354,148.59840722466322,2,False,40,4
