,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables
1_BA,Archaea,Boltzmann Arrhenius,Specific Growth Rate,1.3727361664138145,0.12334296735285832,NA,NA,NA,NA,NA,NA,NA,0.08002251467269839,394.0623995278153,403.24574699183256,1,False,81,2
1_Sch_TF,Archaea,schoolfield two factor,Specific Growth Rate,-2.061439865754683,0.8857256882727172,423.148515234,0.885884607831,NA,NA,NA,NA,NA,0.09440636308986583,396.78907361508277,410.761319388445,2,False,81,4
0_BA,Bacteria,Boltzmann Arrhenius,Specific Growth Rate,1.388705509635783,0.19175860125209665,NA,NA,NA,NA,NA,NA,NA,0.12478828572457423,1455.9266279462136,1468.6544752556524,2,False,264,2
0_Sch_TF,Bacteria,schoolfield two factor,Specific Growth Rate,-10.847774826299208,2.990203293986448,317.042635999,3.0751078114,NA,317.01007,309.21007,352.91007,23.2097614873,0.23038555816396822,1426.2000095234619,1446.0797550391935,1,False,264,4
