,index,ID,Strain,Model_name,Species,Reference,Trait,Latitude,Longitude,Kingdom,Phylum,Class,Order,Family,Genus,B0,B0_stderr,E,E stderr,T_pk,T_pk.stderr,E_D ,E_D.stderr,E_D_L,E_D_L stderr,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Donor,Acceptor,Respiration.Type,R_Squared,AIC,BIC,Rank,Corrected,Optimal Conditions,Number of Data Points,Number of Variables
1679,111,37.0,Thermothrix thiopara,schoolfield two factor,thermothrix thiopara,"2007,  Boyd, E. et al, 'Isolation, Characterization, and Ecology of Sulfur-Respiring Crenarchaea Inhabiting Acid-Sulfate-Chloride-Containing Geothermal Springs in Yellowstone National Park', APPLIED AND ENVIRONMENTAL MICROBIOLOGY 73 (6669<U+0096>6677)",Specific Growth Rate,,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Thermothrix,-12.620166584650987,1.3255128963617955,1.7052872398573964,0.15716013557722947,344.909921541077,0.23699414111449663,10.172652109928734,1.155294650579291,NA,NA,344.8849000000071,342.1849000000065,346.68490000000753,9.627702089042383,Thiosulfate,Nitrate,"B1, B2, B5, B6, B7, B8, C4, C7, C16, C18, C20, C21, C22, C23*, C25, C26, C27, D2, D3, D7, D8, E14, E15",0.9919164186035145,-14.24959368052464,-11.263470793843542,3.0,False,True,9.0,4.0
1680,53,18.0,Thermotoga lettingae TMOT,schoolfield two factor,pseudothermotoga lettingae,"2002, Balk, M et al, 'Thermotoga lettingae sp. nov., a novel thermophilic, methanol-degrading bacterium isolated from a thermophilic anaerobic reactor', International Journal of Systematic and Evolutionary Microbiology , 52, (1361?1368)",Specific Growth Rate,,,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,-7.48709064974384,1.5731770254963877,1.1612284329928748,0.2121096504146022,337.66942618480067,0.7575113963269139,5.051647789763184,1.005928520950755,NA,NA,337.6284000000078,333.3284000000068,340.8284000000085,5.339219924992734,Na,Thiosulfate,Fermentation,0.9830684739092153,-13.90035577775743,-11.50314806935825,1.0,False,True,8.0,4.0
1681,54,18.0,Thermotoga lettingae TMOT,schoolfield simple,pseudothermotoga lettingae,"2002, Balk, M et al, 'Thermotoga lettingae sp. nov., a novel thermophilic, methanol-degrading bacterium isolated from a thermophilic anaerobic reactor', International Journal of Systematic and Evolutionary Microbiology , 52, (1361?1368)",Specific Growth Rate,,,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,-1.8730422146640333,0.0,0.39027688210140354,0.0,NA,NA,171.9398071676042,0.0,NA,NA,345.82840000000965,338.32840000000795,346.1284000000097,4.990552249626796,Na,Thiosulfate,Fermentation,0.5387774995294694,12.416866895915156,14.814074604314335,2.0,False,True,8.0,4.0
1682,55,18.0,Thermotoga lettingae TMOT,schoolfield,pseudothermotoga lettingae,"2002, Balk, M et al, 'Thermotoga lettingae sp. nov., a novel thermophilic, methanol-degrading bacterium isolated from a thermophilic anaerobic reactor', International Journal of Systematic and Evolutionary Microbiology , 52, (1361?1368)",Specific Growth Rate,,,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,-57.296151286028966,41419570.01004553,8.014369850797477,4266628.853941608,NA,NA,10.535861161799522,4005955.7943305993,-5.998820423478534,591445.5230761541,344.42840000000933,342.928400000009,346.5284000000098,119966.66847455071,Na,Thiosulfate,Fermentation,-179203663.03826368,176.31478341254498,178.87087420430385,3.0,False,True,8.0,6.0
1683,297,103.0,Thermotoga maritima,schoolfield simple,thermotoga maritima,"Huber, R., Langworthy, T. A., Konig, H., Thomm, M., Woese, C. R., Sleytr, U. B., & Stetter, K. O. (1986). Thermotoga maritima sp. nov. represents a new genus of unique extremely thermophilic eubacteria growing up to 90C. Archives of Microbiology, 144(4), 324?333.",Specific Growth Rate,44.51,-110.28,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,-9.495092310543193,inf,1.3168892319256238,inf,NA,NA,3.139738572458188,inf,NA,NA,352.7611000000045,347.1611000000032,358.1611000000057,13.3177662815775,Na,Formate,C19,1.0,-241.52518012105526,-242.5937083154558,1.0,False,True,4.0,4.0
1684,298,103.0,Thermotoga maritima,schoolfield two factor,thermotoga maritima,"Huber, R., Langworthy, T. A., Konig, H., Thomm, M., Woese, C. R., Sleytr, U. B., & Stetter, K. O. (1986). Thermotoga maritima sp. nov. represents a new genus of unique extremely thermophilic eubacteria growing up to 90C. Archives of Microbiology, 144(4), 324?333.",Specific Growth Rate,44.51,-110.28,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,-9.495092310542962,inf,1.3168892319255976,inf,352.8082872562659,inf,3.139738572458193,inf,NA,NA,352.7611000000045,347.1611000000032,358.1611000000057,13.31776628157757,Na,Formate,C19,1.0,-235.21095372652474,-236.2794819209253,2.0,False,True,4.0,4.0
1685,56,19.0,Thermotoga sp.,schoolfield two factor,thermotoga sp.,"1985, Belkin, S. & Jannasch, H., M et al, 'A new extremely thermophilie, sulfur-reducing heterotrophie, marine bacterium', Arch Microbiol 141 (181-186)",Specific Growth Rate,40.7353,14.2753,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,-4.30855892263391,0.9131337062518685,0.7102391100143474,0.09295399963790368,362.0386341835467,0.5964148219595928,8.708078580426513,1.770799342664076,NA,NA,362.05000000001223,356.2500000000109,364.75000000001285,20.33659376453396,Na,Sulfur,C19,0.9763031977925551,11.471951926334356,15.461428290326209,1.0,False,True,11.0,4.0
1686,57,19.0,Thermotoga sp.,schoolfield simple,thermotoga sp.,"1985, Belkin, S. & Jannasch, H., M et al, 'A new extremely thermophilie, sulfur-reducing heterotrophie, marine bacterium', Arch Microbiol 141 (181-186)",Specific Growth Rate,40.7353,14.2753,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,-4.308371452980804,0.9132843347753455,0.7102200846953806,0.09296539236019566,NA,NA,8.708166956512498,1.7706729286848844,NA,NA,362.05000000001223,356.2500000000109,364.75000000001285,20.336484762145552,Na,Sulfur,C19,0.9763035157578434,11.471951927344966,15.46142829133682,2.0,False,True,11.0,4.0
1687,58,19.0,Thermotoga sp.,schoolfield,thermotoga sp.,"1985, Belkin, S. & Jannasch, H., M et al, 'A new extremely thermophilie, sulfur-reducing heterotrophie, marine bacterium', Arch Microbiol 141 (181-186)",Specific Growth Rate,40.7353,14.2753,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,-4.308513781491653,0.0,0.7102344817780363,0.0,NA,NA,8.708111468855858,0.0,-110.50272145243022,0,362.05000000001223,356.2500000000109,364.75000000001285,20.336567077052262,Na,Sulfur,C19,0.9763032671277976,15.471951912111514,20.257218821700107,3.0,False,True,11.0,6.0
1688,71,24.0,Thermus aquaticus YT1,schoolfield two factor,thermus aquaticus,"Brock, T. D., & Freeze, H. (1969). sporulating Extreme Thermophile. Journal of Bacteriology, 98(I), 289?297.",Specific Growth Rate,,,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,-4.940845384344272,1.0371474837660792,0.9791479121289378,0.1460678168325576,341.40206812067584,0.7732803675724781,2.2488580067971213,0.196689893800718,NA,NA,341.39630000001057,334.19630000000893,348.4963000000122,16.46320096137191,Na,Oxygen,,0.9798576182290328,1.1116588512645995,5.536192100204601,1.0,False,True,12.0,4.0
